account_id,customer_id,account_open_date,balance,status
ACC00000073,CUST004763,2010-10-03,18609.47,BLOCKED
ACC00000074,CUST009877,2020-12-09,744666.86,CLOSED
ACC00000075,CUST005905,2016-08-29,197349.46,DORMANT
ACC00000076,CUST007710,2016-11-18,356237.71,ACTIVE
ACC00000077,CUST003966,2011-09-02,373493.22,BLOCKED
ACC00000078,CUST000109,2008-04-19,79649.01,ACTIVE
ACC00000079,CUST006296,2005-05-11,784134.47,ACTIVE
ACC00000080,CUST003890,2024-06-13,236419.99,ACTIVE
ACC00000081,CUST003452,2015-09-08,444840.46,BLOCKED
ACC00000082,CUST008307,2025-05-14,148428.49,BLOCKED
ACC00000083,CUST006656,2023-10-03,752001.09,CLOSED
ACC00000084,CUST006911,2024-06-13,472594.83,DORMANT
ACC00000085,CUST009228,2023-04-07,815397.20,BLOCKED
ACC00000086,CUST004404,2006-08-12,348576.39,CLOSED
ACC00000087,CUST005264,2015-01-23,291463.85,DORMANT
ACC00000088,CUST005528,2021-07-07,93856.72,CLOSED
ACC00000089,CUST003493,2005-12-16,870440.99,BLOCKED
ACC00000090,CUST002933,2005-10-26,334790.64,ACTIVE
ACC00000091,CUST004106,2012-01-08,110594.59,CLOSED
ACC00000092,CUST008948,2005-04-07,645435.39,BLOCKED
ACC00000093,CUST005157,2012-12-28,910834.83,ACTIVE
ACC00000094,CUST009081,2016-01-26,652051.03,BLOCKED
ACC00000095,CUST005970,2015-11-04,956229.95,BLOCKED
ACC00000096,CUST002117,2018-12-28,726004.06,ACTIVE
ACC00000097,CUST006474,2019-11-09,533547.56,BLOCKED
ACC00000098,CUST008139,2008-06-10,313810.90,ACTIVE
ACC00000099,CUST000123,2011-01-02,725854.49,ACTIVE
ACC00000100,CUST005672,2012-05-21,136221.56,ACTIVE
ACC00000101,CUST006603,2015-10-07,998930.88,CLOSED
ACC00000102,CUST004278,2006-05-02,591683.18,CLOSED
ACC00000103,CUST001953,2006-11-29,588945.56,BLOCKED
ACC00000104,CUST002329,2013-10-23,413088.30,BLOCKED
ACC00000105,CUST001114,2020-02-22,691431.00,BLOCKED
ACC00000106,CUST007722,2014-07-26,393612.13,ACTIVE
ACC00000107,CUST002365,2016-01-08,280272.68,DORMANT
ACC00000108,CUST006930,2006-12-05,330419.24,ACTIVE
ACC00000109,CUST002620,2025-10-21,264975.70,BLOCKED
ACC00000110,CUST006997,2016-11-02,406830.78,CLOSED
ACC00000111,CUST000592,2017-04-20,829258.75,ACTIVE
ACC00000112,CUST002856,2014-01-25,617786.37,BLOCKED
ACC00000113,CUST002442,2018-02-17,104332.93,ACTIVE
ACC00000114,CUST002239,2019-03-03,516239.32,DORMANT
ACC00000115,CUST002054,2010-09-28,915675.66,BLOCKED
ACC00000116,CUST002293,2009-12-23,286622.07,CLOSED
ACC00000117,CUST003003,2005-02-02,76748.34,CLOSED
ACC00000118,CUST003992,2021-11-06,343488.23,ACTIVE
ACC00000119,CUST009880,2022-05-12,731653.67,ACTIVE
ACC00000120,CUST006255,2022-10-16,194846.21,DORMANT
ACC00000121,CUST008844,2012-10-14,247473.76,CLOSED
ACC00000122,CUST003129,2020-02-26,991485.82,ACTIVE
ACC00000123,CUST007209,2022-09-14,132529.10,DORMANT
ACC00000124,CUST005873,2018-06-25,843962.99,BLOCKED
ACC00000125,CUST000069,2011-10-13,97234.78,ACTIVE
ACC00000126,CUST008957,2017-05-06,315323.61,DORMANT
ACC00000127,CUST008606,2024-02-12,544647.31,BLOCKED
ACC00000128,CUST000805,2006-06-19,234771.67,CLOSED
ACC00000129,CUST002832,2010-11-16,641937.42,CLOSED
ACC00000130,CUST002339,2024-11-06,922166.63,DORMANT
ACC00000131,CUST006593,2013-03-12,725304.42,DORMANT
ACC00000132,CUST002728,2025-04-15,82557.24,ACTIVE
ACC00000133,CUST004958,2014-03-23,288820.03,ACTIVE
ACC00000134,CUST008486,2020-03-22,6939.61,DORMANT
ACC00000135,CUST001121,2007-04-25,650637.11,CLOSED
ACC00000136,CUST002626,2013-04-23,502766.04,ACTIVE
ACC00000137,CUST003814,2009-08-28,955261.54,DORMANT
ACC00000138,CUST006496,2015-05-06,828600.44,ACTIVE
ACC00000139,CUST005985,2021-04-01,306778.11,ACTIVE
ACC00000140,CUST002746,2008-02-27,998127.13,DORMANT
ACC00000141,CUST005250,2011-08-30,570713.40,CLOSED
ACC00000142,CUST008814,2012-06-29,668851.41,CLOSED
ACC00000143,CUST002025,2020-08-06,548965.04,CLOSED
ACC00000144,CUST000152,2017-01-20,252059.59,CLOSED
ACC00000145,CUST007301,2005-12-13,654340.45,DORMANT
ACC00000146,CUST001809,2005-11-22,887440.03,BLOCKED
ACC00000147,CUST000413,2005-06-26,644375.10,DORMANT
ACC00000148,CUST009828,2011-01-02,563165.89,DORMANT
ACC00000149,CUST009380,2012-09-15,580403.03,CLOSED
ACC00000150,CUST008996,2008-05-31,318503.75,BLOCKED
ACC00000151,CUST003125,2024-11-02,899379.34,ACTIVE
ACC00000152,CUST007993,2009-09-24,254621.93,ACTIVE
ACC00000153,CUST005443,2013-09-28,31823.71,BLOCKED
ACC00000154,CUST000414,2012-07-16,193127.67,ACTIVE
ACC00000155,CUST005919,2021-05-12,326274.57,CLOSED
ACC00000156,CUST008315,2012-09-14,101568.15,ACTIVE
ACC00000157,CUST008735,2006-08-06,980190.90,ACTIVE
ACC00000158,CUST001817,2019-09-02,788893.32,DORMANT
ACC00000159,CUST006094,2019-09-08,728581.05,CLOSED
ACC00000160,CUST005461,2018-04-09,519906.24,DORMANT
ACC00000161,CUST002762,2013-01-08,49222.75,ACTIVE
ACC00000162,CUST005765,2005-04-16,265902.34,ACTIVE
ACC00000163,CUST006447,2019-04-02,886573.94,CLOSED
ACC00000164,CUST008554,2015-04-12,868154.01,CLOSED
ACC00000165,CUST000155,2019-04-19,977650.89,BLOCKED
ACC00000166,CUST000893,2009-12-13,67691.43,CLOSED
ACC00000167,CUST007057,2023-11-27,640072.59,BLOCKED
ACC00000168,CUST003256,2020-10-27,712388.58,DORMANT
ACC00000169,CUST002063,2022-09-27,986085.73,BLOCKED
ACC00000170,CUST005206,2015-06-19,93625.51,BLOCKED
ACC00000171,CUST002294,2020-06-21,707012.80,BLOCKED
ACC00000172,CUST008999,2016-11-18,529026.30,CLOSED
ACC00000173,CUST007757,2006-01-10,393667.58,CLOSED
ACC00000174,CUST005572,2007-04-04,472982.44,DORMANT
ACC00000175,CUST003095,2012-10-31,8751.28,ACTIVE
ACC00000176,CUST008278,2025-06-07,845757.40,DORMANT
ACC00000177,CUST004641,2019-05-18,239895.54,CLOSED
ACC00000178,CUST002397,2006-01-15,805809.19,CLOSED
ACC00000179,CUST003695,2018-12-27,959249.92,BLOCKED
ACC00000180,CUST000947,2018-07-02,689106.45,DORMANT
ACC00000181,CUST003297,2015-08-14,828768.39,ACTIVE
ACC00000182,CUST003487,2023-12-25,847645.12,CLOSED
ACC00000183,CUST004470,2013-03-27,891561.88,DORMANT
ACC00000184,CUST006744,2024-09-20,814489.12,BLOCKED
ACC00000185,CUST008730,2022-11-28,733253.18,BLOCKED
ACC00000186,CUST001178,2023-07-29,164445.35,DORMANT
ACC00000187,CUST001318,2011-11-11,591918.43,DORMANT
ACC00000188,CUST005171,2015-08-02,990600.17,DORMANT
ACC00000189,CUST007790,2011-10-08,264857.80,BLOCKED
ACC00000190,CUST005725,2009-09-08,809417.78,BLOCKED
ACC00000191,CUST007335,2015-05-20,344140.91,ACTIVE
ACC00000192,CUST007787,2007-06-28,597244.57,ACTIVE
ACC00000193,CUST004038,2008-02-23,969365.75,BLOCKED
ACC00000194,CUST003783,2009-10-05,347717.93,CLOSED
ACC00000195,CUST000925,2025-03-08,872846.81,BLOCKED
ACC00000196,CUST002056,2019-06-05,246208.39,DORMANT
ACC00000197,CUST003526,2016-12-24,481300.43,DORMANT
ACC00000198,CUST005997,2014-07-24,628136.44,ACTIVE
ACC00000199,CUST004224,2024-10-26,925262.34,DORMANT
ACC00000200,CUST008582,2006-06-04,822360.64,DORMANT
ACC00000201,CUST001347,2024-04-27,704005.47,CLOSED
ACC00000202,CUST002363,2012-05-09,63138.37,CLOSED
ACC00000203,CUST005598,2018-06-03,314048.03,CLOSED
ACC00000204,CUST008318,2022-07-17,135946.02,DORMANT
ACC00000205,CUST008976,2011-06-25,284691.24,DORMANT
ACC00000206,CUST002522,2025-01-07,848589.13,ACTIVE
ACC00000207,CUST005808,2025-10-27,636503.82,BLOCKED
ACC00000208,CUST008507,2012-11-30,148198.69,BLOCKED
ACC00000209,CUST003922,2007-04-21,792356.00,BLOCKED
ACC00000210,CUST005270,2009-05-30,12696.32,DORMANT
ACC00000211,CUST000018,2011-05-01,744188.26,DORMANT
ACC00000212,CUST008383,2005-09-26,247549.70,BLOCKED
ACC00000213,CUST006750,2006-06-05,535760.18,ACTIVE
ACC00000214,CUST003465,2013-07-31,304176.43,BLOCKED
ACC00000215,CUST004153,2019-12-09,419878.50,CLOSED
ACC00000216,CUST007249,2009-11-06,989650.86,CLOSED
ACC00000217,CUST002778,2019-03-08,171336.67,BLOCKED
ACC00000218,CUST007426,2007-08-12,928409.52,CLOSED
ACC00000219,CUST004652,2007-08-05,129800.43,CLOSED
ACC00000220,CUST006768,2007-08-26,193298.26,DORMANT
ACC00000221,CUST001616,2024-10-30,444571.18,DORMANT
ACC00000222,CUST002955,2016-04-08,499097.28,BLOCKED
ACC00000223,CUST009443,2010-07-28,550629.25,BLOCKED
ACC00000224,CUST009772,2010-09-02,774200.15,ACTIVE
ACC00000225,CUST003026,2022-06-20,373915.97,CLOSED
ACC00000226,CUST006268,2007-03-03,927313.67,ACTIVE
ACC00000227,CUST001817,2010-05-17,381503.90,DORMANT
ACC00000228,CUST006518,2018-04-08,895824.22,BLOCKED
ACC00000229,CUST004195,2019-04-29,310470.81,DORMANT
ACC00000230,CUST000800,2025-04-06,659497.64,CLOSED
ACC00000231,CUST006302,2005-06-30,537611.22,CLOSED
ACC00000232,CUST007537,2021-11-03,328039.95,DORMANT
ACC00000233,CUST008219,2010-09-21,995015.79,DORMANT
ACC00000234,CUST005877,2014-08-30,159572.60,DORMANT
ACC00000235,CUST000003,2018-10-01,62835.79,ACTIVE
ACC00000236,CUST000407,2019-07-19,573213.58,BLOCKED
ACC00000237,CUST003630,2006-05-29,664991.85,DORMANT
ACC00000238,CUST000541,2018-09-20,352399.37,CLOSED
ACC00000239,CUST001768,2007-01-02,161286.82,BLOCKED
ACC00000240,CUST009905,2011-06-16,287354.81,BLOCKED
ACC00000241,CUST002559,2006-03-15,441921.24,BLOCKED
ACC00000242,CUST008725,2019-01-04,219708.54,ACTIVE
ACC00000243,CUST006886,2016-06-11,253287.38,CLOSED
ACC00000244,CUST002867,2021-11-29,407374.01,DORMANT
ACC00000245,CUST006266,2005-06-25,670820.55,DORMANT
ACC00000246,CUST002950,2021-05-17,740974.50,CLOSED
ACC00000247,CUST008245,2019-11-04,558045.55,BLOCKED
ACC00000248,CUST002169,2008-03-22,343607.38,CLOSED
ACC00000249,CUST008344,2017-03-15,714388.75,ACTIVE
ACC00000250,CUST003070,2018-12-05,561541.84,BLOCKED
ACC00000251,CUST006908,2008-10-28,238017.04,ACTIVE
ACC00000252,CUST000020,2006-06-11,213328.83,ACTIVE
ACC00000253,CUST001495,2014-02-28,989869.57,ACTIVE
ACC00000254,CUST002802,2008-02-12,388936.29,CLOSED
ACC00000255,CUST005273,2005-05-01,800999.40,DORMANT
ACC00000256,CUST008831,2020-10-14,837179.96,CLOSED
ACC00000257,CUST000319,2013-10-16,310583.32,ACTIVE
ACC00000258,CUST009798,2025-09-22,869655.39,DORMANT
ACC00000259,CUST008204,2017-11-20,897399.77,CLOSED
ACC00000260,CUST000407,2024-03-10,116512.57,ACTIVE
ACC00000261,CUST007346,2020-07-18,371441.86,ACTIVE
ACC00000262,CUST002166,2025-06-07,685059.20,BLOCKED
ACC00000263,CUST009055,2025-10-31,806798.23,BLOCKED
ACC00000264,CUST001760,2025-01-19,67237.80,DORMANT
ACC00000265,CUST003153,2010-05-18,818291.31,CLOSED
ACC00000266,CUST008349,2025-03-27,293781.28,DORMANT
ACC00000267,CUST006733,2016-12-03,427873.62,ACTIVE
ACC00000268,CUST008130,2018-12-13,304033.96,DORMANT
ACC00000269,CUST008087,2022-07-14,581493.02,ACTIVE
ACC00000270,CUST000897,2022-09-13,668427.74,CLOSED
ACC00000271,CUST009702,2019-05-13,296842.51,ACTIVE
ACC00000272,CUST009037,2023-05-02,554284.06,CLOSED
ACC00000273,CUST000112,2008-01-29,465631.32,CLOSED
ACC00000274,CUST004023,2016-03-25,284449.81,CLOSED
ACC00000275,CUST005524,2007-04-29,731065.44,CLOSED
ACC00000276,CUST004758,2012-02-28,777413.89,DORMANT
ACC00000277,CUST009762,2023-07-11,301717.97,ACTIVE
ACC00000278,CUST008082,2014-03-13,858767.56,DORMANT
ACC00000279,CUST004705,2011-07-29,426735.29,DORMANT
ACC00000280,CUST007812,2025-02-28,515822.00,ACTIVE
ACC00000281,CUST000912,2009-11-16,629490.65,CLOSED
ACC00000282,CUST004580,2023-10-11,690704.78,BLOCKED
ACC00000283,CUST000404,2020-04-12,51775.48,CLOSED
ACC00000284,CUST003284,2022-12-07,447255.69,CLOSED
ACC00000285,CUST002571,2020-11-21,495332.35,BLOCKED
ACC00000286,CUST007084,2008-11-08,564094.66,ACTIVE
ACC00000287,CUST005245,2009-06-02,97974.18,ACTIVE
ACC00000288,CUST006940,2014-08-16,327368.41,DORMANT
ACC00000289,CUST004552,2015-10-03,908235.65,BLOCKED
ACC00000290,CUST000245,2014-11-17,554373.40,BLOCKED
ACC00000291,CUST002038,2014-01-06,711858.08,CLOSED
ACC00000292,CUST009110,2009-10-30,526465.25,ACTIVE
ACC00000293,CUST006920,2013-05-29,883734.73,ACTIVE
ACC00000294,CUST007853,2009-04-15,406923.82,ACTIVE
ACC00000295,CUST003801,2025-01-29,368312.34,CLOSED
ACC00000296,CUST001376,2023-11-22,890317.58,BLOCKED
ACC00000297,CUST004649,2025-07-31,524184.68,ACTIVE
ACC00000298,CUST004802,2007-05-03,571471.49,DORMANT
ACC00000299,CUST006799,2015-08-22,330402.42,BLOCKED
ACC00000300,CUST004787,2017-05-25,413714.91,DORMANT
ACC00000301,CUST006340,2011-01-04,651136.01,ACTIVE
ACC00000302,CUST007950,2017-03-07,281987.14,CLOSED
ACC00000303,CUST007062,2015-03-24,368104.79,BLOCKED
ACC00000304,CUST007474,2015-01-14,30155.43,ACTIVE
ACC00000305,CUST004858,2019-02-16,567543.13,CLOSED
ACC00000306,CUST000671,2017-11-22,402481.37,ACTIVE
ACC00000307,CUST008461,2010-06-23,266033.84,CLOSED
ACC00000308,CUST003642,2018-03-19,23990.98,CLOSED
ACC00000309,CUST007602,2008-03-07,550644.45,BLOCKED
ACC00000310,CUST002197,2014-10-19,936522.77,BLOCKED
ACC00000311,CUST007127,2016-03-29,794508.05,BLOCKED
ACC00000312,CUST005720,2017-05-23,29934.99,ACTIVE
ACC00000313,CUST006782,2025-05-25,591492.00,DORMANT
ACC00000314,CUST009265,2021-02-15,578606.10,DORMANT
ACC00000315,CUST009266,2012-12-02,720972.70,CLOSED
ACC00000316,CUST002537,2023-01-10,751159.61,ACTIVE
ACC00000317,CUST004678,2023-10-15,267344.73,BLOCKED
ACC00000318,CUST002395,2022-05-03,871058.90,CLOSED
ACC00000319,CUST002612,2010-08-12,534746.09,ACTIVE
ACC00000320,CUST008100,2010-06-16,681247.67,DORMANT
ACC00000321,CUST003166,2023-02-20,178210.98,DORMANT
ACC00000322,CUST001109,2005-01-13,257422.13,CLOSED
ACC00000323,CUST006425,2008-07-14,572181.75,BLOCKED
ACC00000324,CUST003190,2013-01-27,106243.25,ACTIVE
ACC00000325,CUST008750,2018-12-02,543891.44,CLOSED
ACC00000326,CUST001228,2019-10-23,715407.15,BLOCKED
ACC00000327,CUST000060,2016-04-03,784033.10,CLOSED
ACC00000328,CUST007444,2017-01-14,800864.23,DORMANT
ACC00000329,CUST008623,2014-02-16,706620.50,ACTIVE
ACC00000330,CUST004140,2008-02-13,343315.92,CLOSED
ACC00000331,CUST006479,2008-05-29,602641.56,ACTIVE
ACC00000332,CUST009500,2025-10-25,630298.03,CLOSED
ACC00000333,CUST006570,2018-04-24,993185.93,CLOSED
ACC00000334,CUST005249,2008-09-24,128739.79,ACTIVE
ACC00000335,CUST004235,2005-09-10,922330.74,ACTIVE
ACC00000336,CUST008531,2020-05-20,746845.24,BLOCKED
ACC00000337,CUST004318,2020-02-05,604802.54,BLOCKED
ACC00000338,CUST009373,2021-02-22,936929.63,DORMANT
ACC00000339,CUST005702,2010-05-04,116891.79,CLOSED
ACC00000340,CUST005606,2025-01-13,703575.09,DORMANT
ACC00000341,CUST009995,2022-05-26,12385.90,CLOSED
ACC00000342,CUST005166,2023-05-23,567982.87,ACTIVE
ACC00000343,CUST009317,2018-01-27,647285.08,BLOCKED
ACC00000344,CUST001511,2011-09-17,861038.00,BLOCKED
ACC00000345,CUST000954,2016-09-22,987699.20,ACTIVE
ACC00000346,CUST003293,2018-01-11,230049.45,CLOSED
ACC00000347,CUST006559,2019-06-22,402046.19,ACTIVE
ACC00000348,CUST007932,2025-05-22,588029.95,ACTIVE
ACC00000349,CUST008531,2008-12-09,598791.92,CLOSED
ACC00000350,CUST001052,2024-08-19,801539.12,ACTIVE
ACC00000351,CUST009292,2011-05-22,678974.79,BLOCKED
ACC00000352,CUST009544,2016-06-10,107875.68,ACTIVE
ACC00000353,CUST001765,2020-07-08,904001.66,BLOCKED
ACC00000354,CUST005438,2024-01-07,349391.37,CLOSED
ACC00000355,CUST002282,2016-02-10,656254.49,DORMANT
ACC00000356,CUST005927,2020-11-14,751093.57,DORMANT
ACC00000357,CUST001073,2021-07-22,996383.81,DORMANT
ACC00000358,CUST003033,2025-09-17,621544.25,DORMANT
ACC00000359,CUST003437,2009-09-09,736004.73,DORMANT
ACC00000360,CUST004349,2009-03-04,829020.60,DORMANT
ACC00000361,CUST007054,2020-07-13,133360.91,ACTIVE
ACC00000362,CUST004060,2010-04-28,797549.00,ACTIVE
ACC00000363,CUST001613,2010-11-06,552678.63,ACTIVE
ACC00000364,CUST009221,2006-11-30,366123.51,BLOCKED
ACC00000365,CUST007582,2011-07-11,39138.45,ACTIVE
ACC00000366,CUST006288,2023-12-17,688727.50,DORMANT
ACC00000367,CUST009520,2009-12-29,428267.75,ACTIVE
ACC00000368,CUST004004,2007-05-02,669948.77,ACTIVE
ACC00000369,CUST006790,2010-09-15,767336.39,ACTIVE
ACC00000370,CUST001457,2006-12-14,680188.61,DORMANT
ACC00000371,CUST009594,2025-01-15,650382.80,DORMANT
ACC00000372,CUST007141,2018-03-04,221272.77,CLOSED
ACC00000373,CUST003799,2022-08-18,354821.21,ACTIVE
ACC00000374,CUST009085,2019-06-05,100505.79,ACTIVE
ACC00000375,CUST003124,2013-01-03,951626.95,BLOCKED
ACC00000376,CUST006973,2023-12-08,570341.82,BLOCKED
ACC00000377,CUST003314,2018-09-10,350949.21,DORMANT
ACC00000378,CUST008327,2011-04-01,505693.08,ACTIVE
ACC00000379,CUST000192,2023-07-07,548593.85,CLOSED
ACC00000380,CUST006098,2012-06-17,868277.74,CLOSED
ACC00000381,CUST003340,2016-11-10,153455.20,ACTIVE
ACC00000382,CUST004231,2009-08-19,581131.18,BLOCKED
ACC00000383,CUST004394,2022-02-21,944855.55,DORMANT
ACC00000384,CUST001481,2010-08-26,701537.53,CLOSED
ACC00000385,CUST007540,2023-12-19,973758.64,CLOSED
ACC00000386,CUST002946,2016-10-10,449131.30,BLOCKED
ACC00000387,CUST002232,2022-03-02,705187.04,BLOCKED
ACC00000388,CUST001161,2008-07-05,799159.23,ACTIVE
ACC00000389,CUST000672,2018-11-28,449769.55,CLOSED
ACC00000390,CUST004928,2006-08-27,278541.83,CLOSED
ACC00000391,CUST008510,2010-11-20,73254.29,DORMANT
ACC00000392,CUST008118,2016-07-19,292401.06,CLOSED
ACC00000393,CUST006261,2023-11-28,984215.35,ACTIVE
ACC00000394,CUST009006,2009-01-05,841225.07,CLOSED
ACC00000395,CUST007923,2018-11-13,788482.46,ACTIVE
ACC00000396,CUST009266,2020-02-07,697919.21,DORMANT
ACC00000397,CUST000168,2013-04-11,855097.75,BLOCKED
ACC00000398,CUST000839,2023-04-20,969195.28,ACTIVE
ACC00000399,CUST003970,2005-11-12,656031.50,BLOCKED
ACC00000400,CUST009289,2022-04-09,363152.91,DORMANT
ACC00000401,CUST002035,2012-11-21,129432.98,BLOCKED
ACC00000402,CUST009181,2007-08-25,289745.94,BLOCKED
ACC00000403,CUST009301,2015-05-04,552935.07,CLOSED
ACC00000404,CUST004182,2015-07-01,428934.45,ACTIVE
ACC00000405,CUST003226,2023-01-25,321434.61,DORMANT
ACC00000406,CUST004970,2025-02-05,501672.65,ACTIVE
ACC00000407,CUST004135,2011-10-29,957238.74,DORMANT
ACC00000408,CUST005436,2016-01-04,980576.97,BLOCKED
ACC00000409,CUST006118,2020-03-10,738773.11,CLOSED
ACC00000410,CUST001300,2018-07-23,662560.65,BLOCKED
ACC00000411,CUST001078,2018-02-10,310788.14,ACTIVE
ACC00000412,CUST003527,2021-03-04,487480.27,DORMANT
ACC00000413,CUST001361,2023-09-15,46278.45,CLOSED
ACC00000414,CUST007941,2018-10-20,389275.13,DORMANT
ACC00000415,CUST000797,2015-11-20,509829.74,DORMANT
ACC00000416,CUST002352,2016-03-24,455080.81,BLOCKED
ACC00000417,CUST000897,2015-06-02,936146.34,BLOCKED
ACC00000418,CUST000187,2010-03-28,347538.37,DORMANT
ACC00000419,CUST005400,2024-05-28,374313.33,CLOSED
ACC00000420,CUST006421,2022-10-04,675079.07,CLOSED
ACC00000421,CUST002649,2020-01-08,244622.49,DORMANT
ACC00000422,CUST000753,2018-09-27,368827.82,BLOCKED
ACC00000423,CUST007282,2021-03-15,766418.61,ACTIVE
ACC00000424,CUST005332,2018-08-04,235342.12,CLOSED
ACC00000425,CUST005339,2020-07-08,516694.80,BLOCKED
ACC00000426,CUST008989,2019-02-22,837464.43,ACTIVE
ACC00000427,CUST001075,2025-11-07,494783.12,BLOCKED
ACC00000428,CUST006517,2010-12-06,655896.19,DORMANT
ACC00000429,CUST008580,2008-06-13,182507.15,CLOSED
ACC00000430,CUST006268,2010-04-07,860243.56,CLOSED
ACC00000431,CUST001199,2020-04-10,981609.90,ACTIVE
ACC00000432,CUST001299,2011-07-13,207899.71,ACTIVE
ACC00000433,CUST003998,2021-08-05,83905.84,BLOCKED
ACC00000434,CUST009371,2006-03-27,722761.73,BLOCKED
ACC00000435,CUST008106,2024-07-11,738095.55,DORMANT
ACC00000436,CUST000276,2005-07-22,980175.31,DORMANT
ACC00000437,CUST006309,2021-06-30,539250.12,CLOSED
ACC00000438,CUST008582,2025-10-15,576077.51,BLOCKED
ACC00000439,CUST001934,2017-07-24,598678.03,BLOCKED
ACC00000440,CUST003396,2012-09-30,345121.19,ACTIVE
ACC00000441,CUST008789,2014-10-15,422810.87,ACTIVE
ACC00000442,CUST007187,2022-02-04,838321.95,BLOCKED
ACC00000443,CUST006190,2005-08-26,394425.75,CLOSED
